year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error,binary_test,sentiment_score,rough_score
2013,tt1939659,Carrie,ok,ok,PASS,30000000,35266619,85001659,2013PASS,30000000,35266619,85001659,1,1,1939659,"a reimagining of the classic horror tale about carrie white, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",R,TRUE,English,USA,"Lawrence D. Cohen (screenplay), Roberto Aguirre-Sacasa (screenplay), Stephen King (novel)",53,6,Kimberly Peirce,18 Oct 2013,"Julianne Moore, Chloë Grace Moretz, Gabriella Wilde, Portia Doubleday","Drama, Horror",1 win & 3 nominations.,100 min,movie,http://ia.media-imdb.com/images/M/MV5BMTc1MDIyOTkxN15BMl5BanBnXkFtZTgwMTU1NzEzMDE@._V1_SX300.jpg,57766,NA,1,-14,-14
2013,tt1985966,Cloudy with a Chance of Meatballs 2,nowomen-disagree,nowomen,FAIL,78000000,119640264,271725448,2013FAIL,78000000,119640264,271725448,1,1,1985966,flint lockwood now works at the live corp company for his idol chester v. but he's forced to leave his post when he learns that his most infamous machine is still operational and is churning out menacing food-animal hybrids.,PG,TRUE,English,USA,"Erica Rivinoja (screenplay), John Francis Daley (screenplay), Jonathan M. Goldstein (screenplay), Phil Lord (story), Christopher Miller (story), Erica Rivinoja (story), Judi Barrett (characters), Ron Barrett (characters)",59,6.5,"Cody Cameron, Kris Pearn",27 Sep 2013,"Bill Hader, Anna Faris, James Caan, Will Forte","Animation, Comedy, Family",8 nominations.,95 min,movie,http://ia.media-imdb.com/images/M/MV5BMTYzNDM0MDI1NF5BMl5BanBnXkFtZTcwNzQ5NzYxOQ@@._V1_SX300.jpg,26133,NA,0,-2,-1
2013,tt1690953,Despicable Me 2,ok,ok,PASS,76000000,368065385,970766005,2013PASS,76000000,368065385,970766005,1,1,1690953,gru is recruited by the anti-villain league to help deal with a powerful new super criminal.,PG,TRUE,English,USA,"Cinco Paul, Ken Daurio",62,7.6,"Pierre Coffin, Chris Renaud",03 Jul 2013,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove","Animation, Adventure, Comedy",Nominated for 2 Oscars. Another 10 wins & 31 nominations.,98 min,movie,http://ia.media-imdb.com/images/M/MV5BMjExNjAyNTcyMF5BMl5BanBnXkFtZTgwODQzMjQ3MDE@._V1_SX300.jpg,160919,NA,1,1,1
2013,tt2229499,Don Jon,dubious-disagree,dubious,FAIL,5500000,24477704,26377704,2013FAIL,5500000,24477704,26377704,1,1,2229499,"a new jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",R,TRUE,English,USA,Joseph Gordon-Levitt,66,6.8,Joseph Gordon-Levitt,27 Sep 2013,"Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore, Tony Danza","Comedy, Drama, Romance",2 wins & 6 nominations.,90 min,movie,"http://ia.media-imdb.com/images/M/MV5BMTQxNTc3NDM2MF5BMl5BanBnXkFtZTcwNzQ5NTQ3OQ@@._V1._CR28,28.649993896484375,1271,1991.0000305175781_SX89_.jpg_V1_SX300.jpg",105210,NA,0,10,3
2013,tt1535108,Elysium,ok-disagree,ok,PASS,120000000,93050117,286192091,2013PASS,120000000,93050117,286192091,1,1,1535108,"in the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined earth. a man takes on a mission that could bring equality to the polarized worlds.",R,TRUE,"English, Spanish, French, Afrikaans",USA,Neill Blomkamp,61,6.7,Neill Blomkamp,09 Aug 2013,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga","Action, Drama, Sci-Fi",5 nominations.,109 min,movie,http://ia.media-imdb.com/images/M/MV5BNDc2NjU0MTcwNV5BMl5BanBnXkFtZTcwMjg4MDg2OQ@@._V1_SX300.jpg,194012,NA,1,0,0
2013,tt0848537,Epic,ok-disagree,ok,PASS,100000000,107518682,268418682,2013PASS,100000000,107518682,268418682,1,1,0848537,a teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. she bands together with a rag-tag group of characters in order to save their world -- and ours.,PG,TRUE,English,USA,"James V. Hart (screenplay), William Joyce (screenplay), Daniel Shere (screenplay), Tom J. Astle (screenplay), Matt Ember (screenplay), William Joyce (story), James V. Hart (story), Chris Wedge (story), William Joyce (inspired by the book ""The Leaf Men and the Brave Good Bugs"")",52,6.7,Chris Wedge,24 May 2013,"Blake Anderson, Aziz Ansari, Allison Bills, Jim Conroy","Animation, Adventure, Family",1 win & 15 nominations.,102 min,movie,http://ia.media-imdb.com/images/M/MV5BMTgyNDYwNzE5NV5BMl5BanBnXkFtZTcwMzUyODM5OA@@._V1_SX300.jpg,55536,NA,1,-2,-1
2013,tt0765446,Escape from Planet Earth,ok,ok,PASS,40000000,57012977,66454811,2013PASS,40000000,57012977,66454811,1,1,0765446,astronaut scorch supernova finds himself caught in a trap when he responds to an sos from a notoriously dangerous alien planet.,PG,TRUE,English,"USA, Canada","Bob Barlen, Cal Brunker, Tony Leech (story), Cory Edwards (story)",35,5.9,Cal Brunker,15 Feb 2013,"Brendan Fraser, Rob Corddry, Ricky Gervais, Jonathan Morgan Heit","Animation, Adventure, Comedy",1 win.,89 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQyMTk4NjkyMl5BMl5BanBnXkFtZTcwMzA2OTY4OA@@._V1_SX300.jpg,14047,NA,1,-1,-3
2013,tt1211956,Escape Plan,men,men,FAIL,70000000,25213103,103813103,2013FAIL,70000000,25213103,103813103,1,1,1211956,"when a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.",R,TRUE,"English, German, Arabic, Urdu",USA,"Miles Chapman (screenplay), Jason Keller (screenplay), Miles Chapman (story)",49,6.8,Mikael Håfström,18 Oct 2013,"Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel, Faran Tahir","Action, Mystery, Thriller",1 nomination.,115 min,movie,http://ia.media-imdb.com/images/M/MV5BMTk3OTcxMTEyNl5BMl5BanBnXkFtZTcwMDQ4MjQ2OQ@@._V1_SX300.jpg,79262,NA,0,0,0
2013,tt1288558,Evil Dead,ok-disagree,ok,PASS,17000000,54239856,97402049,2013PASS,17000000,54239856,97402049,1,1,1288558,"five friends head to a remote cabin, where the discovery of a book of the dead leads them to unwittingly summon up demons living in the nearby woods. the evil presence possesses them until only one is left to fight for survival.",R,TRUE,English,USA,"Fede Alvarez (screenplay), Rodo Sayagues (screenplay), Sam Raimi (based on the motion picture ""The Evil Dead"",  written by)",57,6.5,Fede Alvarez,05 Apr 2013,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas",Horror,1 win & 4 nominations.,91 min,movie,http://ia.media-imdb.com/images/M/MV5BNTQ3OTkwNTgyN15BMl5BanBnXkFtZTcwNTAzOTAzOQ@@._V1_SX300.jpg,86833,NA,1,-7,0
2013,tt2294629,Frozen,ok,ok,PASS,150000000,393050114,1004550114,2013PASS,150000000,393050114,1004550114,1,1,2294629,"fearless optimist anna teams up with kristoff in an epic journey, encountering everest-like conditions, and a hilarious snowman named olaf in a race to find anna's sister elsa, whose icy powers have trapped the kingdom in eternal winter.",PG,TRUE,English,USA,"Jennifer Lee (screenplay), Hans Christian Andersen (inspired by the story ""The Snow Queen"" by), Chris Buck (story), Jennifer Lee (story), Shane Morris (story), Dean Wellins (additional story)",74,7.9,"Chris Buck, Jennifer Lee",27 Nov 2013,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","Animation, Adventure, Comedy",Won 2 Oscars. Another 34 wins & 17 nominations.,102 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,166804,NA,1,-3,-6
2013,tt1583421,G.I. Joe: Retaliation,ok-disagree,ok,PASS,140000000,122523060,371923060,2013PASS,140000000,122523060,371923060,1,1,1583421,the g.i. joes are not only fighting their mortal enemy cobra; they are forced to contend with threats from within the government that jeopardize their very existence.,PG-13,TRUE,English,USA,"Rhett Reese, Paul Wernick",41,5.9,Jon M. Chu,28 Mar 2013,"Dwayne Johnson, Jonathan Pryce, Byung-hun Lee, Elodie Yung","Action, Adventure, Sci-Fi",9 nominations.,110 min,movie,http://ia.media-imdb.com/images/M/MV5BNzk5ODM0OTQ0N15BMl5BanBnXkFtZTcwODg2ODE4OA@@._V1_SX300.jpg,103584,NA,1,-6,-4
2013,tt1321870,Gangster Squad,notalk,notalk,FAIL,60000000,46000903,104100903,2013FAIL,60000000,46000903,104100903,1,1,1321870,"los angeles, 1949: a secret crew of police officers led by two determined sergeants work together in an effort to take down the ruthless mob king mickey cohen who runs the city.",R,TRUE,English,USA,"Will Beall, Paul Lieberman (book)",40,6.8,Ruben Fleischer,11 Jan 2013,"Sean Penn, Holt McCallany, Wade Williams, James Landry Hébert","Action, Crime, Drama",1 win & 1 nomination.,113 min,movie,http://ia.media-imdb.com/images/M/MV5BMTcwMjAyMTUzMl5BMl5BanBnXkFtZTcwODgxNzk1OA@@._V1_SX300.jpg,130219,NA,0,2,0
2013,tt2425486,Gloria,ok,ok,PASS,30000000,4167493,4967493,2013PASS,30000000,4167493,4967493,1,1,2425486,"a story set in santiago and centered on gloria, a free-spirited older woman, and the realities of her whirlwind relationship with a former naval officer whom she meets out in the clubs.",R,TRUE,"Spanish, English","Chile, Spain","Sebastián Lelio (screenplay), Gonzalo Maza (screenplay)",83,7,Sebastián Lelio,09 May 2013,"Paulina García, Sergio Hernández, Diego Fontecilla, Fabiola Zamora","Comedy, Drama",7 wins & 9 nominations.,110 min,movie,http://ia.media-imdb.com/images/M/MV5BMzI1NjgxNDM3N15BMl5BanBnXkFtZTgwMTI4MDI1MDE@._V1_SX300.jpg,2578,NA,1,3,2
2013,tt2191701,Grown Ups 2,men-disagree,men,FAIL,80000000,133668525,247023808,2013FAIL,80000000,133668525,247023808,1,1,2191701,"after moving his family back to his hometown to be with his friends and their kids, lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.",PG-13,TRUE,English,USA,"Fred Wolf, Adam Sandler, Tim Herlihy, Adam Sandler (based on characters created by), Fred Wolf (based on characters created by)",19,5.4,Dennis Dugan,12 Jul 2013,"Adam Sandler, Kevin James, Chris Rock, David Spade",Comedy,1 win & 11 nominations.,101 min,movie,http://ia.media-imdb.com/images/M/MV5BMTgwNTI2MDI0OF5BMl5BanBnXkFtZTcwMTk5MDg0OQ@@._V1_SX300.jpg,60641,NA,0,-4,-4
2013,tt1798709,Her,men-disagree,men,FAIL,23000000,25000178,33029713,2013FAIL,23000000,25000178,33029713,1,1,1798709,a lonely writer develops an unlikely relationship with his newly purchased operating system that's designed to meet his every need.,R,TRUE,English,USA,Spike Jonze,90,8.3,Spike Jonze,10 Jan 2014,"Joaquin Phoenix, Lynn Adrianna, Lisa Renee Pitts, Gabe Gomez","Drama, Romance, Sci-Fi",Won 1 Oscar. Another 42 wins & 58 nominations.,126 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_SX300.jpg,89605,NA,0,-2,-1
2013,tt2226417,Insidious: Chapter 2,men,men,FAIL,5000000,83586447,161911222,2013FAIL,5000000,83586447,161911222,1,1,2226417,the haunted lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,PG-13,TRUE,English,"USA, Canada","Leigh Whannell (based on characters created by), James Wan (story), Leigh Whannell (story), Leigh Whannell (screenplay)",40,6.7,James Wan,13 Sep 2013,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye","Horror, Thriller",1 win & 4 nominations.,106 min,movie,http://ia.media-imdb.com/images/M/MV5BMTg0OTA5ODIxNF5BMl5BanBnXkFtZTcwNTUzNDg4OQ@@._V1_SX300.jpg,47327,NA,0,-1,-1
2013,tt1300854,Iron Man 3,dubious-disagree,dubious,FAIL,200000000,408992272,1212692272,2013FAIL,200000000,408992272,1212692272,1,1,1300854,"when tony stark's world is torn apart by a formidable terrorist called the mandarin, he starts an odyssey of rebuilding and retribution.",PG-13,TRUE,English,"USA, China","Drew Pearce (screenplay), Shane Black (screenplay), Stan Lee (based on the Marvel comic book by), Don Heck (based on the Marvel comic book by), Larry Lieber (based on the Marvel comic book by), Jack Kirby (based on the Marvel comic book by), Warren Ellis (based on the ""Extremis"" mini-series written by), Adi Granov (based on the ""Extremis"" mini-series illustrated by)",62,7.4,Shane Black,03 May 2013,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce","Action, Adventure, Fantasy",Nominated for 1 Oscar. Another 12 wins & 35 nominations.,130 min,movie,http://ia.media-imdb.com/images/M/MV5BMjIzMzAzMjQyM15BMl5BanBnXkFtZTcwNzM2NjcyOQ@@._V1_SX300.jpg,350466,NA,0,-2,1
2013,tt1351685,Jack the Giant Slayer,nowomen-disagree,nowomen,FAIL,195000000,65187603,197387603,2013FAIL,195000000,65187603,197387603,1,1,1351685,"the ancient war between humans and a race of giants is reignited when jack, a young farmhand fighting for a kingdom and the love of a princess, opens a gateway between the two worlds.",PG-13,TRUE,English,USA,"Darren Lemke (screenplay), Christopher McQuarrie (screenplay), Dan Studney (screenplay), Darren Lemke (story), David Dobkin (story)",51,6.3,Bryan Singer,01 Mar 2013,"Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor, Stanley Tucci","Adventure, Fantasy",2 wins & 3 nominations.,114 min,movie,http://ia.media-imdb.com/images/M/MV5BMjE1NDMxMjI0OV5BMl5BanBnXkFtZTcwMjQyMDExOQ@@._V1_SX300.jpg,74855,NA,0,1,1
2013,tt1650554,Kick-Ass 2,ok,ok,PASS,28000000,28795985,60839197,2013PASS,28000000,28795985,60839197,1,1,1650554,"the costumed high-school hero kick-ass joins with a group of normal citizens who have been inspired to fight crime in costume. meanwhile, the red mist plots an act of revenge that will affect everyone kick-ass knows.",R,TRUE,English,"USA, UK","Jeff Wadlow (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)",41,6.8,Jeff Wadlow,16 Aug 2013,"Aaron Taylor-Johnson, Chloë Grace Moretz, Morris Chestnut, Claudia Lee","Action, Comedy, Crime",1 win.,103 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQ4OTQxNzc0N15BMl5BanBnXkFtZTcwOTQxOTU5OQ@@._V1_SX300.jpg,115230,NA,1,-10,-2
2013,tt0770828,Man of Steel,ok-disagree,ok,PASS,225000000,291045518,687999518,2013PASS,225000000,291045518,687999518,1,1,0770828,a young itinerant worker is forced to confront his secret extrastellar origin when earth is invaded by members of his own race.,PG-13,TRUE,English,"USA, Canada, UK","David S. Goyer (screenplay), David S. Goyer (story), Christopher Nolan (story), Jerry Siegel (Superman created by), Joe Shuster (Superman created by)",55,7.4,Zack Snyder,14 Jun 2013,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane","Action, Adventure, Fantasy",4 wins & 16 nominations.,143 min,movie,http://ia.media-imdb.com/images/M/MV5BMjI5OTYzNjI0Ml5BMl5BanBnXkFtZTcwMzM1NDA1OQ@@._V1_SX300.jpg,359556,NA,1,-1,-1
2013,tt1670345,Now You See Me,notalk-disagree,notalk,FAIL,75000000,117723989,351723989,2013FAIL,75000000,117723989,351723989,1,1,1670345,an fbi agent and an interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,PG-13,TRUE,English,"France, USA","Ed Solomon (screenplay), Boaz Yakin (screenplay), Edward Ricourt (screenplay), Boaz Yakin (story), Edward Ricourt (story)",50,7.3,Louis Leterrier,31 May 2013,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher","Crime, Mystery, Thriller",1 win & 3 nominations.,115 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY0NDY3MDMxN15BMl5BanBnXkFtZTcwOTM5NzMzOQ@@._V1_SX300.jpg,280199,NA,0,2,1
2013,tt2302755,Olympus Has Fallen,notalk,notalk,FAIL,70000000,98927592,150562164,2013FAIL,70000000,98927592,150562164,1,1,2302755,"disgraced former presidential guard mike banning finds himself trapped inside the white house in the wake of a terrorist attack; using his inside knowledge, banning works with national security to rescue the president from his kidnappers.",R,TRUE,"English, Korean",USA,"Creighton Rothenberger, Katrin Benedikt",41,6.5,Antoine Fuqua,22 Mar 2013,"Gerard Butler, Aaron Eckhart, Finley Jacobsen, Dylan McDermott","Action, Thriller",2 nominations.,119 min,movie,http://ia.media-imdb.com/images/M/MV5BMTkxNjIyNjE5OF5BMl5BanBnXkFtZTcwMTI3NzkxOQ@@._V1_SX300.jpg,132564,NA,0,-3,-3
2013,tt1623205,Oz the Great and Powerful,ok-disagree,ok,PASS,200000000,234770996,489570996,2013PASS,200000000,234770996,489570996,1,1,1623205,a small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.,PG,TRUE,English,USA,"Mitchell Kapner (screenplay), David Lindsay-Abaire (screenplay), Mitchell Kapner (screen story), L. Frank Baum (""Oz"" works)",44,6.4,Sam Raimi,08 Mar 2013,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams","Adventure, Family, Fantasy",3 wins & 24 nominations.,130 min,movie,http://ia.media-imdb.com/images/M/MV5BMjMyMzQ1ODM1MF5BMl5BanBnXkFtZTcwMjE2MTQxOQ@@._V1_SX300.jpg,135860,NA,1,-1,0
2013,tt1663662,Pacific Rim,notalk-disagree,notalk,FAIL,190000000,101802906,411002906,2013FAIL,190000000,101802906,411002906,1,1,1663662,"as a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",PG-13,TRUE,"English, Japanese, Cantonese, Mandarin",USA,"Travis Beacham (screenplay), Guillermo del Toro (screenplay), Travis Beacham (story)",64,7.1,Guillermo del Toro,12 Jul 2013,"Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi","Action, Adventure, Sci-Fi",Nominated for 1 BAFTA Film Award. Another 6 wins & 14 nominations.,131 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY3MTI5NjQ4Nl5BMl5BanBnXkFtZTcwOTU1OTU0OQ@@._V1_SX300.jpg,226148,NA,0,-5,-4
2013,tt1904996,Parker,ok,ok,PASS,35000000,17616641,46346651,2013PASS,35000000,17616641,46346651,1,1,1904996,"a thief with a unique code of professional ethics is double-crossed by his crew and left for dead. assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",R,TRUE,English,USA,"John J. McLaughlin (screenplay), Donald E. Westlake (novel)",43,6.2,Taylor Hackford,25 Jan 2013,"Jason Statham, Jennifer Lopez, Michael Chiklis, Wendell Pierce","Action, Crime, Thriller",N/A,118 min,movie,http://ia.media-imdb.com/images/M/MV5BMTk4MzM2NTQ1Nl5BMl5BanBnXkFtZTcwODIyODY1OA@@._V1_SX300.jpg,59992,NA,1,-4,-1
2013,tt1854564,Percy Jackson: Sea of Monsters,ok,ok,PASS,90000000,68559554,200859554,2013PASS,90000000,68559554,200859554,1,1,1854564,"in order to restore their dying safe haven, the son of poseidon and his friends embark on a quest to the sea of monsters to find the mythical golden fleece while trying to stop an ancient evil from rising.",PG,TRUE,English,USA,"Marc Guggenheim (screenplay), Rick Riordan (based upon the novel ""Percy Jackson and the Olympians: The Sea of Monsters"" written by)",39,6,Thor Freudenthal,07 Aug 2013,"Logan Lerman, Alexandra Daddario, Douglas Smith, Leven Rambin","Adventure, Family, Fantasy",1 win & 3 nominations.,106 min,movie,http://ia.media-imdb.com/images/M/MV5BMTUwODUyODI0Nl5BMl5BanBnXkFtZTcwNzAxODY2OQ@@._V1_SX300.jpg,52311,NA,1,-2,0
