...1,id,year,imdbid,rating,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,Documentary,Short,Animation,Sport,Action,Comedy,Romance,NA,Western,Music,History,Horror,Family,Fantasy,Drama,Crime,Adventure,Biography,Mystery,Sci-Fi,War,Thriller,Musical,Film-Noir,Adult,Talk-Show,News,binary
14,8040,1888,392728,0,tt0392728,short,Roundhay Garden Scene,Roundhay Garden Scene,0,1888,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
15,9615,1888,1758563,0,tt1758563,short,Accordion Player,Accordion Player,0,1888,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
16,9616,1888,343112,0,tt0343112,short,Traffic Crossing Leeds Bridge,Traffic Crossing Leeds Bridge,0,1888,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
17,9675,1888,3274100,0,tt3274100,short,Pferd und Reiter Springen über ein Hindernis,Pferd und Reiter Springen über ein Hindernis,0,1888,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
18,9947,1888,2116853,0,tt2116853,short,Brighton Street Scene,Brighton Street Scene,0,1888,\N,\N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
19,9619,1889,466876,0,tt0466876,short,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses","Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",0,1889,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
20,9945,1889,2116898,0,tt2116898,short,Hyde Park Corner,Hyde Park Corner,0,1889,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
21,9617,1890,361921,0,tt0361921,short,"Monkeyshines, No. 1","Monkeyshines, No. 1",0,1890,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
22,9618,1890,416046,0,tt0416046,short,"Monkeyshines, No. 2","Monkeyshines, No. 2",0,1890,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
23,9621,1890,1202028,0,tt1202028,short,London's Trafalgar Square,London's Trafalgar Square,0,1890,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
24,9678,1890,416047,0,tt0416047,short,"Monkeyshines, No. 3","Monkeyshines, No. 3",0,1890,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
25,9946,1890,5285442,0,tt5285442,short,Mosquinha,Mosquinha,0,1890,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
26,9944,1890,2116968,0,tt2116968,short,"Traffic in King's Road, Chelsea","Traffic in King's Road, Chelsea",0,1890,\N,\N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
27,9626,1891,241373,0,tt0241373,short,Dickson Greeting,Dickson Greeting,0,1891,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
28,9628,1891,241715,0,tt0241715,short,Men Boxing,Men Boxing,0,1891,\N,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
29,9629,1891,241763,0,tt0241763,short,Newark Athlete,Newark Athlete,0,1891,\N,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
30,9792,1891,241393,0,tt0241393,short,"Duncan and Another, Blacksmith Shop","Duncan and Another, Blacksmith Shop",0,1891,\N,\N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
31,9793,1891,241392,0,tt0241392,short,Duncan Smoking,Duncan Smoking,0,1891,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
32,9794,1891,241394,0,tt0241394,short,Duncan or Devonald with Muslin Cloud,Duncan or Devonald with Muslin Cloud,0,1891,\N,\N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
33,9795,1891,241735,0,tt0241735,short,"Monkey and Another, Boxing","Monkey and Another, Boxing",0,1891,\N,\N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
34,9800,1891,3201916,0,tt3201916,short,Je vous aime,Je vous aime,0,1891,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
35,9802,1891,3508566,0,tt3508566,short,La vague,La vague,0,1891,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
36,9943,1891,5447082,0,tt5447082,short,Two Fencers,Two Fencers,0,1891,\N,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
37,5433,1892,3,0,tt0000003,short,Pauvre Pierrot,Pauvre Pierrot,0,1892,\N,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
38,9631,1892,4,0,tt0000004,short,Un bon bock,Un bon bock,0,1892,\N,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
39,9632,1892,2,0,tt0000002,short,Le clown et ses chiens,Le clown et ses chiens,0,1892,\N,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
40,9951,1892,241446,0,tt0241446,short,Fencing,Fencing,0,1892,\N,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
41,9952,1892,234520,0,tt0234520,short,Le prince de Galles,Le prince de Galles,0,1902,\N,\N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
42,9948,1892,242148,0,tt0242148,short,Wrestling,Wrestling,0,1892,\N,\N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
43,9986,1892,241266,0,tt0241266,short,Boxing,Boxing,0,1892,\N,\N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
44,9583,1893,5,0,tt0000005,short,Blacksmith Scene,Blacksmith Scene,0,1893,\N,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
45,9636,1894,229217,0,tt0229217,short,Annabelle Butterfly Dance,Annabelle Butterfly Dance,0,1894,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
46,9642,1894,8419312,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
47,9646,1894,15,0,tt0000015,short,Autour d'une cabine,Autour d'une cabine,0,1894,\N,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
48,9648,1894,229235,0,tt0229235,short,The Barbershop,The Barbershop,0,1894,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
49,9649,1894,309396,0,tt0309396,short,Bucking Broncho,Bucking Broncho,0,1894,\N,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
50,9650,1894,309402,0,tt0309402,short,Buffalo Dance,Buffalo Dance,0,1894,\N,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
51,9652,1894,8,0,tt0000008,short,Edison Kinetoscopic Record of a Sneeze,Edison Kinetoscopic Record of a Sneeze,0,1894,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
52,9654,1894,177707,0,tt0177707,short,Dickson Experimental Sound Film,Dickson Experimental Sound Film,0,1894,\N,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
53,9655,1894,6,0,tt0000006,short,Chinese Opium Den,Chinese Opium Den,0,1894,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
54,9656,1894,7,0,tt0000007,short,Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph,0,1894,\N,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
55,9662,1894,2049440,0,tt2049440,short,Falling Cat,Falling Cat,0,1894,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
56,9663,1894,312728,0,tt0312728,short,"Glenroy Bros., No. 2","Glenroy Bros., No. 2",0,1894,\N,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
57,9664,1894,256782,0,tt0256782,short,Glenroy Brothers (Comic Boxing),Glenroy Brothers (Comic Boxing),0,1894,\N,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
58,9668,1894,203646,0,tt0203646,short,Leonard-Cushing Fight,Leonard-Cushing Fight,0,1894,\N,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
59,9671,1894,277115,0,tt0277115,short,"Luis Martinetti, Contortionist","Luis Martinetti, Contortionist",0,1894,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
60,9673,1894,2161519,0,tt2161519,short,Sandow No. 2,Sandow No. 2,0,1894,\N,\N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
61,9674,1894,2161521,0,tt2161521,short,Sandow No. 3,Sandow No. 3,0,1894,\N,\N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
62,9681,1894,413219,0,tt0413219,short,Rêve au coin du feu,Rêve au coin du feu,0,1894,\N,\N,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
63,9779,1894,9,0,tt0000009,movie,Miss Jerry,Miss Jerry,0,1894,\N,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
64,5444,1895,14,0,tt0000014,short,The Waterer Watered,L'arroseur arrosé,0,1895,\N,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
65,6200,1895,132134,0,tt0132134,short,"The Execution of Mary, Queen of Scots","The Execution of Mary, Queen of Scots",0,1895,\N,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
66,9679,1895,11,1,tt0000011,short,Akrobatisches Potpourri,Akrobatisches Potpourri,0,1895,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
67,9683,1895,154152,0,tt0154152,short,Annabelle Serpentine Dance,Annabelle Serpentine Dance,0,1895,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
68,9714,1895,17,0,tt0000017,short,Italienischer Bauerntanz,Italienischer Bauerntanz,0,1895,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
69,9715,1895,29,1,tt0000029,short,Baby's Meal,Repas de bébé,0,1895,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
70,9766,1895,477266,0,tt0477266,short,Billy Edwards and the Unknown,Billy Edwards and the Unknown,0,1895,\N,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
71,9767,1895,22,0,tt0000022,short,Blacksmith Scene,Les forgerons,0,1895,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
72,9787,1895,16,0,tt0000016,short,Boat Leaving the Port,Barque sortant du port,0,1895,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
73,4982,1896,91,0,tt0000091,short,The House of the Devil,Le manoir du diable,0,1896,\N,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
74,5406,1896,131,0,tt0000131,short,A Terrible Night,Une nuit terrible,0,1896,\N,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
75,5445,1896,223341,0,tt0223341,short,La fée aux choux,La fée aux choux,0,1896,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
76,6199,1896,12,0,tt0000012,short,The Arrival of a Train,L'arrivée d'un train à La Ciotat,0,1896,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
77,9672,1896,1428455,0,tt1428455,short,Sandow,Sandow,0,1896,\N,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
78,9949,1896,1672718,0,tt1672718,short,Alger: rue Bab-Azoun,Alger: rue Bab-Azoun,0,1896,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
79,9950,1896,1736599,0,tt1736599,short,Lassage des boeufs pour le labour,Lassage des boeufs pour le labour,0,1896,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
80,9901,1896,222137,0,tt0222137,short,Lancement d'un navire,Lancement d'un navire,0,1896,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
81,9328,1897,41,0,tt0000041,short,Bataille de neige,Bataille de neige,0,1897,\N,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
82,4978,1898,135696,0,tt0135696,short,Four Heads Are Better Than One,Un homme de têtes,0,1898,\N,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
83,5410,1898,211,0,tt0000211,short,"The Astronomer's Dream; or, the Man in the Moon",La lune à un mètre,0,1898,\N,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
84,5411,1898,224240,0,tt0224240,short,The Temptation of St. Anthony,La tentation de Saint-Antoine,0,1898,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0
85,4994,1899,246,0,tt0000246,short,A Turn of the Century Illusionist,L'impressionniste fin de siècle,0,1899,\N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
86,5914,1899,230,3,tt0000230,short,Cinderella,Cendrillon,0,1899,\N,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1
87,1594,1900,291476,0,tt0291476,short,Sherlock Holmes Baffled,Sherlock Holmes Baffled,0,1900,\N,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0
88,4271,1900,300,0,tt0000300,short,The Enchanted Drawing,The Enchanted Drawing,0,1900,\N,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
89,4343,1900,304,0,tt0000304,short,Grandma's Reading Glass,Grandma's Reading Glass,0,1900,\N,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
90,4344,1900,272,0,tt0000272,short,As Seen Through a Telescope,As Seen Through a Telescope,0,1900,\N,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
91,4345,1900,257654,0,tt0257654,short,The Delights of Automobiling,Explosion of a Motor Car,0,1900,\N,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
92,4346,1900,306,0,tt0000306,short,Le duel d'Hamlet,Le duel d'Hamlet,0,1900,\N,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0
93,4993,1900,135453,0,tt0135453,short,The One-Man Band,L'homme orchestre,0,1900,\N,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
94,5069,1900,377995,0,tt0377995,short,Grandma Threading Her Needle,Grandma Threading Her Needle,0,1900,\N,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
95,5072,1900,230746,0,tt0230746,short,"Searching Ruins on Broadway, Galveston, for Dead Bodies","Searching Ruins on Broadway, Galveston, for Dead Bodies",0,1900,\N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
96,5438,1900,313,0,tt0000313,short,Let Me Dream Again,Let Me Dream Again,0,1900,\N,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
97,5446,1900,227438,0,tt0227438,short,The Doctor and the Monkey,Le savant et le chimpanze,0,1900,\N,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
98,4995,1901,359,0,tt0000359,short,The India Rubber Head,L'homme à la tête en caoutchouc,0,1901,\N,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
99,5437,1901,258104,0,tt0258104,short,Rêve et réalité,Rêve et réalité,0,1901,\N,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
100,5500,1901,131934,0,tt0131934,short,Bluebeard,Barbe-bleue,0,1901,\N,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
101,1252,1902,417,0,tt0000417,short,A Trip to the Moon,Le voyage dans la lune,0,1902,\N,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,0
102,5431,1902,229024,0,tt0229024,short,Gulliver's Travels,Le voyage de Gulliver à Lilliput et chez les géants,0,1902,\N,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
103,5432,1902,367177,0,tt0367177,short,"The Twentieth Century Tramp; or, Happy Hooligan and His Airship","The Twentieth Century Tramp; or, Happy Hooligan and His Airship",0,1902,\N,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
104,5443,1902,413,0,tt0000413,short,The Devil's Money Bags,Les trésors de satan,0,1902,\N,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
105,1319,1903,439,0,tt0000439,short,The Great Train Robbery,The Great Train Robbery,0,1903,\N,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,0
106,5002,1903,135180,0,tt0135180,short,The Infernal Cauldron,Le chaudron infernal,0,1903,\N,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
107,5063,1903,455,0,tt0000455,short,The Music Lover,Le mélomane,0,1903,\N,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
108,5064,1903,223755,0,tt0223755,short,The Monster,Le monstre,0,1903,\N,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
109,5683,1903,189498,0,tt0189498,short,The Enchanted Well,Le puits fantastique,0,1903,\N,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0
110,5224,1904,215664,0,tt0215664,short,The Cook in Trouble,Sorcellerie culinaire,0,1904,\N,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
111,5404,1904,135179,0,tt0135179,short,The Living Playing Cards,Les cartes vivantes,0,1905,\N,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
112,5601,1904,135631,0,tt0135631,short,The Untamable Whiskers,Le roi du maquillage,0,1904,\N,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
113,6135,1904,499,0,tt0000499,short,An Impossible Voyage,Le voyage à travers l'impossible,0,1904,\N,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,0
114,5003,1905,135690,0,tt0135690,short,The Scheming Gambler's Paradise,Le tripot clandestin,0,1905,\N,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
115,5602,1905,215575,0,tt0215575,short,The Black Imp,Le diable noir,0,1905,\N,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
116,1349,1906,574,1,tt0000574,movie,The Story of the Kelly Gang,The Story of the Kelly Gang,0,1906,\N,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,0
117,5024,1906,216016,0,tt0216016,short,The Mysterious Retort,Alchimiste Parafaragaramus ou La cornue infernale,0,1906,\N,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,0
118,5435,1906,554,0,tt0000554,short,Humorous Phases of Funny Faces,Humorous Phases of Funny Faces,0,1906,\N,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
119,5603,1906,135122,0,tt0135122,short,The Hilarious Posters,Les affiches en goguette,0,1906,\N,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
120,5684,1906,567,0,tt0000567,short,The 400 Tricks of the Devil,Les quatre cents farces du diable,0,1906,\N,17,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
121,6206,1906,449172,0,tt0449172,short,A Funny Shave,Ah! La barbe!,0,1906,\N,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
